image_name,green_dx,green_dy,red_dx,red_dy,eucl_green_dx,eucl_green_dy,eucl_red_dx,eucl_red_dy,max_rollover,image_shape,image_shape_cropped
cathedral,-2,-5,1,7,-2,-5,1,7,7,"(341, 390, 3)","(-1, -1, -1)"
tobolsk,-3,-3,1,4,-3,-3,1,4,4,"(341, 396, 3)","(-1, -1, -1)"
monastery,-2,3,1,6,-2,3,1,6,6,"(341, 391, 3)","(-1, -1, -1)"
church,-4,-25,-8,33,-4,-25,-8,33,33,"(3202, 3634, 3)","(-1, -1, -1)"
emir,-24,-49,17,57,-24,-49,17,57,57,"(3209, 3702, 3)","(-1, -1, -1)"
harvesters,-17,-60,-3,65,-16,-60,-3,65,65,"(3218, 3683, 3)","(-1, -1, -1)"
icon,-17,-41,5,48,-17,-41,5,48,48,"(3244, 3741, 3)","(-1, -1, -1)"
italil,-21,-38,15,39,-21,-38,15,39,39,"(3231, 3719, 3)","(-1, -1, -1)"
lastochikino,2,3,-7,78,2,3,-7,78,78,"(3241, 3700, 3)","(-1, -1, -1)"
lugano,16,-41,-13,52,16,-41,-13,53,52,"(3244, 3779, 3)","(-1, -1, -1)"
melons,-10,-82,4,96,-11,-82,4,96,96,"(3241, 3770, 3)","(-1, -1, -1)"
self_portrait,-29,-79,8,98,-29,-79,8,98,98,"(3251, 3810, 3)","(-1, -1, -1)"
siren,6,-49,-18,47,6,-50,-18,47,49,"(3250, 3817, 3)","(-1, -1, -1)"
three_generations,-14,-53,-3,58,-14,-54,-3,58,58,"(3209, 3714, 3)","(-1, -1, -1)"
eleven_adults,-31,-58,16,73,-31,-58,16,73,73,"(3218, 3762, 3)","(-1, -1, -1)"
makhrovye_maki,-8,-8,5,51,-8,-8,5,51,51,"(3241, 3771, 3)","(-1, -1, -1)"
ordezh_bliz,1,-39,-5,112,1,-39,-5,112,112,"(3244, 3761, 3)","(-1, -1, -1)"
